Age,Income,Credit_Score,Credit_Utilization,Missed_Payments,Delinquent_Account,Loan_Balance,Debt_to_Income_Ratio,Account_Tenure,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Credit_Card_Type_Business,Credit_Card_Type_Gold,Credit_Card_Type_Platinum,Credit_Card_Type_Standard,Credit_Card_Type_Student,Employment_Status_EMP,Employment_Status_Employed,Employment_Status_Self-employed,Employment_Status_Unemployed,Employment_Status_employed,Employment_Status_retired,Location_Chicago,Location_Houston,Location_Los Angeles,Location_New York,Location_Phoenix
70,117023.0,528.0,0.105172510332822,5,0,95136.0,0.469017763334595,10,2,1,1,1,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
53,143148.0,617.0,0.708521767127297,0,0,2593.0,0.392539809079672,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
57,159356.0,601.0,0.396029321690249,0,0,1514.0,0.303178156816159,9,1,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
41,146484.0,543.0,0.170183533213155,3,0,74039.0,0.472911476806953,9,0,1,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
20,183152.0,823.0,0.709147026508068,0,1,28018.0,0.307427924408284,19,2,2,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
39,81040.0,831.0,0.533824810019818,5,0,16034.0,0.409762496486116,17,1,2,2,0,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
70,181319.0,486.0,0.550314216966463,2,0,2420.0,0.303830058752242,19,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
19,199402.0,783.0,0.661907854401181,4,0,43942.0,0.339388759481057,8,0,0,2,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
41,40351.0,690.0,0.238004568343521,2,1,2200.0,0.291856121905722,14,1,1,2,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
61,154487.0,321.0,0.173699835723167,0,0,81757.0,0.309530135387393,3,0,2,2,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
47,108468.0,538.0,0.81619085898064,2,1,,0.317053186038799,7,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
55,41646.0,847.0,0.212566647851541,5,0,28018.0,0.23302681675116,8,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
19,193998.0,515.0,0.255552440584887,5,0,,0.259893133307691,12,0,1,2,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
38,89740.0,789.0,0.295512924090846,0,0,89660.0,0.278324498351382,8,1,2,1,1,1,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
50,136790.0,525.0,0.915989184738104,3,0,43870.0,0.322971101680229,3,1,2,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
29,86726.0,588.0,0.598676660082304,2,0,,0.296942098049653,16,0,0,1,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
39,88523.0,523.0,0.693081594887076,3,0,29561.0,0.41730325338257,15,0,2,2,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
61,72458.0,374.0,0.539233509115745,3,0,60530.0,0.384711831897964,14,2,1,0,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
42,60106.0,385.0,0.379622557759753,1,0,46663.0,0.280367244397462,2,2,0,0,2,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
66,106362.0,806.0,0.626258256652033,0,1,11308.0,0.438178389745193,19,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
44,99076.0,440.0,0.188676805840639,4,0,99005.0,0.487302062357545,4,1,0,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
59,69693.0,316.0,0.280943309580701,5,1,60278.0,0.1,4,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
45,137402.0,464.0,0.646595035852296,5,0,65119.0,0.393229008506627,19,1,1,1,2,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
33,53756.0,521.0,0.228548953834643,0,0,36029.0,0.23070158026685,14,0,1,1,2,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
32,181319.0,467.0,0.462183706167625,6,0,62010.0,0.380074802132329,17,1,2,2,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
64,183152.0,823.0,0.471297531128917,6,0,87164.0,0.423823794064643,14,0,2,0,1,1,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
68,97750.0,352.0,0.394267599332567,6,0,91432.0,0.212300740548944,1,2,0,0,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
61,,372.0,0.109776305030228,4,0,44454.0,0.114767290098423,12,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
72,81617.0,359.0,0.374214221762261,5,0,11564.0,0.383543408821586,3,0,2,0,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
69,,792.0,0.335006324613502,0,1,11155.0,0.313540248248361,9,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
74,66991.0,601.0,0.532287972657539,5,0,31198.0,0.133156124609737,12,2,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20,106267.0,751.0,0.522098107739893,3,0,86447.0,0.552956450546282,9,2,1,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
54,59238.0,401.0,0.575592291987374,2,1,,0.362441941225655,8,2,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
68,153311.0,326.0,0.36480274540512,2,0,5626.0,0.367010004012515,7,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
24,146800.0,637.0,0.604555590093178,5,0,2687.0,0.436581775256204,2,2,0,2,1,2,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
38,97750.0,691.0,0.188798653445263,1,0,63375.0,0.241917604715349,15,0,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
26,118033.0,469.0,0.135619053469529,4,0,92865.0,0.313045411208867,13,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
56,169865.0,336.0,0.05,6,0,92183.0,0.168067808622023,8,1,0,2,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
35,109074.0,383.0,0.4001405520856,4,0,,0.239205155271481,10,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
21,185806.0,823.0,0.349340355132288,4,0,,0.338566000046923,2,1,1,0,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
42,194819.0,339.0,0.65786312237092,3,0,29427.0,0.133471533286754,4,0,1,2,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
31,90353.0,711.0,0.370267482590226,4,0,69342.0,0.236371045432191,9,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
67,198401.0,715.0,0.554675269588853,2,0,17401.0,0.207206604006227,12,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
26,76629.0,673.0,0.662659315316615,3,0,35372.0,0.314209224562034,3,2,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
43,107193.0,843.0,0.362736184870176,0,0,70793.0,0.357470126166534,12,1,1,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
70,81040.0,401.0,0.559610442021435,4,0,63443.0,0.374215280437645,11,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
19,,538.0,0.700385509791039,4,0,37445.0,0.399881664477815,4,2,0,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
37,140899.0,826.0,0.252367445038886,0,1,64950.0,0.437211684657237,9,2,1,0,1,1,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
45,184160.0,475.0,0.504970467648928,4,0,49893.0,0.36072454536834,8,0,1,2,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
64,155507.0,801.0,0.363593123360137,0,0,81202.0,0.488733589889441,19,1,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
24,109074.0,739.0,0.265102023501372,3,0,54247.0,0.311950252126468,6,1,1,1,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
61,43251.0,773.0,0.192709651901954,2,0,86488.0,0.282667884574945,1,2,1,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
25,117634.0,815.0,0.261870285564259,0,0,95267.0,0.360730736336004,6,1,2,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
64,,612.0,0.512005801150402,1,0,99005.0,0.278358882500741,7,2,0,2,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
52,172164.0,600.0,0.17783110888765,0,0,7468.0,0.485256472877504,6,1,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
31,,796.0,0.389854595182272,4,0,85026.0,0.413098347313521,13,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
34,81617.0,822.0,0.662638881370579,6,0,24917.0,0.375027814419951,18,0,1,2,2,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
53,196415.0,797.0,0.589802192683787,6,1,77348.0,0.313141934404135,4,2,2,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
67,159572.0,371.0,0.393898475412368,3,0,16310.0,0.259252282858513,17,1,2,2,1,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
57,136465.0,567.0,0.837938082671744,5,0,95303.0,0.370132500456776,19,0,0,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
21,36447.0,448.0,0.878607282782332,3,0,13355.0,0.187290254815304,11,2,2,1,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
19,159188.0,835.0,0.505224486307945,5,0,96507.0,0.453436353344102,16,2,2,2,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
23,181267.0,542.0,0.05,6,0,24851.0,0.282236329461462,12,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
71,,611.0,0.677289639403251,6,0,23908.0,0.330510673324072,1,0,1,0,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
59,59425.0,577.0,0.05,0,0,65548.0,0.209039892380671,12,1,2,2,2,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
21,97844.0,728.0,0.795229222144013,2,0,82909.0,0.372298626311922,6,2,1,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
71,115235.0,427.0,0.716716980148459,1,0,31454.0,0.254625838716167,9,1,2,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
46,189358.0,824.0,0.854842500827604,3,0,4617.0,0.364922879030509,5,1,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
35,88847.0,686.0,0.552053111673545,4,0,92329.0,0.375739346897738,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
43,172504.0,835.0,0.427722846563632,5,0,28298.0,0.235236788641145,2,2,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
61,115235.0,820.0,0.409979773261955,4,0,10942.0,0.1876470879086,17,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
51,186230.0,336.0,0.39074796579382,2,0,51440.0,0.453189991654454,10,2,1,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
27,80215.0,572.0,0.69621373073494,5,0,12707.0,0.280770096597091,19,1,1,2,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
53,141131.0,601.0,0.642454297901175,3,1,92865.0,0.322484881604563,4,2,1,2,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
31,188416.0,680.0,0.524045126686842,0,0,35598.0,0.348546452464674,18,2,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
48,129585.0,458.0,0.355563738414605,4,0,51431.0,0.174629987010177,18,2,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
65,127856.0,361.0,1.02584252626005,2,0,2200.0,0.346266613681988,14,2,0,2,1,1,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
32,90353.0,664.0,0.682474922792573,3,0,20525.0,0.309912653615463,15,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
25,18709.0,444.0,0.180457616045318,6,0,44437.0,0.23564693022956,8,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
31,90353.0,372.0,0.396748796812574,6,0,59192.0,0.184346401516227,3,0,0,1,2,1,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
40,,439.0,0.686355219481741,3,0,17401.0,0.360588554795727,14,2,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
74,35056.0,648.0,0.340092215753463,3,0,67236.0,0.412771200819487,11,1,0,1,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
57,90353.0,306.0,0.570309591765177,3,0,11251.0,0.31785905173928,2,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
38,121357.0,742.0,0.690159260067229,5,0,8110.0,0.156553465815031,13,2,2,1,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
33,152326.0,383.0,0.05,3,0,10778.0,0.194266718282526,16,1,0,2,2,1,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
62,189197.0,639.0,0.478392460042149,4,1,50183.0,0.256787629067594,18,1,0,2,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
35,54298.0,495.0,0.486241830713024,2,0,13355.0,0.456461974116075,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
64,106007.0,820.0,0.417585508863242,5,0,11061.0,0.275324933790112,3,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
70,155734.0,563.0,0.560339026989208,3,0,79354.0,0.25314310772018,6,0,1,1,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
41,163216.0,429.0,0.631503921499174,1,1,,0.132651520032388,18,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
43,107658.0,679.0,0.528410188864921,1,0,60628.0,0.234331520988988,16,0,2,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
42,178165.0,383.0,0.425234521190113,2,0,,0.176706364600916,15,1,2,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
62,99076.0,340.0,0.626524259956853,6,0,30443.0,0.199682016907719,14,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
58,117023.0,339.0,0.509810681854871,0,0,42556.0,0.311995068015874,7,2,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
46,127816.0,820.0,0.453859917360904,0,0,94000.0,0.259883579438882,18,1,1,0,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
32,19748.0,354.0,0.237544122932216,6,0,29584.0,0.469949445267134,7,1,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
62,170026.0,523.0,0.187469042946784,5,0,64950.0,0.407800337270747,17,1,1,2,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
18,43732.0,474.0,0.233754041457185,5,0,76774.0,0.239111606218966,15,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
42,16015.0,332.0,0.555665812244043,5,0,8828.0,0.208318215825948,19,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
24,153311.0,475.0,0.484184250478729,0,1,692.0,0.438264193566419,18,1,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
26,,725.0,0.203943180358507,1,0,77743.0,0.466004248948348,9,2,0,0,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
41,138961.0,826.0,0.629183565158762,0,0,32588.0,0.1,16,2,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
18,121884.0,,0.774861902635819,4,0,,0.30928576239717,12,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
61,19835.0,629.0,0.380301276656732,3,1,55980.0,0.274812169210327,12,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
25,84724.0,655.0,0.151803628526325,5,0,22510.0,0.364912014005993,6,0,0,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
41,125448.0,644.0,0.358174723019617,1,1,82909.0,0.49426681241615,9,2,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
28,134156.0,584.0,0.670892125358938,2,0,30509.0,0.25159429806722,1,0,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
68,190333.0,526.0,0.609705971706954,2,0,,0.1,3,1,2,1,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
34,125226.0,354.0,0.315513462797704,3,0,35598.0,0.357900770014926,5,0,2,2,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
25,80953.0,623.0,0.804234427552948,1,1,71588.0,0.43899640686042,17,2,2,1,1,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
52,129692.0,522.0,0.769656013185279,0,0,36955.0,0.269624021848022,5,0,2,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
52,199402.0,427.0,0.353398787344671,0,1,,0.229496251986033,16,2,2,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
50,90880.0,800.0,0.351341999407006,4,1,89537.0,0.25627405946223,13,2,2,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
22,118081.0,623.0,0.381434412524102,4,0,16034.0,0.385020536713123,10,0,2,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
59,115497.0,693.0,0.39853344492229,0,0,89537.0,0.254553905871501,18,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
56,199402.0,777.0,0.690107601585688,2,1,96507.0,0.332876030034284,1,0,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
58,166836.0,781.0,0.585065812095318,5,0,76445.0,0.302780291573994,2,2,2,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
45,187627.0,766.0,0.675415753870117,2,0,20052.0,0.292462038757723,10,2,2,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
24,73141.0,717.0,0.63471302863734,4,0,36913.0,0.370129232675223,5,0,0,1,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
26,180983.0,427.0,0.842905413638746,3,0,77209.0,0.25214201001358,13,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
25,168772.0,388.0,0.288122891238171,0,1,94363.0,0.256941343981772,18,1,2,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
29,16252.0,441.0,0.576071706076783,4,0,96056.0,0.379760284999975,15,0,2,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
51,118333.0,346.0,0.0652357487530604,4,0,20081.0,0.201307467583134,6,2,2,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
50,192247.0,387.0,0.236608885180628,5,0,28730.0,0.211977980917767,7,1,1,2,1,2,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
65,199294.0,505.0,0.48502932281303,0,0,85107.0,0.17396857086564,18,0,0,1,1,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
72,138961.0,402.0,0.583641322550907,5,1,42556.0,0.384901091327655,19,1,2,2,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
40,129548.0,794.0,0.479636851594086,0,0,16693.0,0.289476303191873,15,2,2,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
41,58088.0,567.0,0.386561516237464,5,0,10951.0,0.168638485392093,6,2,0,1,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
54,30485.0,617.0,0.422116424501392,2,0,76861.0,0.385380856230906,8,0,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
52,178165.0,823.0,0.77388819528482,3,0,19977.0,0.244445783842456,12,2,0,2,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
61,77292.0,414.0,0.423193564423971,3,1,60348.0,0.212832192116311,0,2,0,1,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
57,,694.0,0.849848324408705,0,0,3494.0,0.280432144112304,7,2,1,2,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
39,41790.0,681.0,0.658803414708226,1,0,17913.0,0.447872360946789,3,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
44,31364.0,757.0,0.591507469229646,6,0,10942.0,0.260503780350342,2,0,2,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
52,129692.0,826.0,0.2612806179358,4,1,5539.0,0.357533886411558,2,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
18,15404.0,588.0,0.687047632279925,4,0,91432.0,0.372708002045095,12,2,2,2,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
52,32955.0,302.0,0.4012458844503,0,0,19796.0,0.34432732980064,7,0,2,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
54,53513.0,328.0,0.26111204839886,5,0,95276.0,0.427107164967426,6,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
64,189197.0,524.0,0.602568722615875,1,1,6118.0,0.229288399536772,0,2,1,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
31,97986.0,326.0,0.222410787886692,2,0,34897.0,0.195666515694966,15,2,0,1,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
20,,718.0,0.347551707574083,5,0,39006.0,0.1937033343975,5,2,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
18,116570.0,823.0,0.497976817706217,5,0,36342.0,0.28555315847002,6,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
22,119185.0,711.0,0.943684284822945,0,0,44454.0,0.205295334215947,11,0,1,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
43,136465.0,823.0,0.362616848841502,0,0,92381.0,0.314754091186532,8,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
72,21801.0,805.0,0.408356696139884,4,1,95267.0,0.307698841972489,10,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
31,15404.0,316.0,0.646469010884329,0,0,71791.0,0.401857330318604,9,0,2,2,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
56,54081.0,566.0,0.25234086232479,0,0,43927.0,0.329114430823604,0,2,0,1,2,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
44,74494.0,319.0,0.588561276204183,0,0,48397.0,0.258384814413855,17,2,0,1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
26,89740.0,385.0,0.741185361523317,4,0,96485.0,0.341084920443268,3,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
32,116570.0,402.0,0.438581023057779,2,0,26000.0,0.196980598010205,4,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
32,117795.0,670.0,0.705230856279373,2,1,14417.0,0.296185931197568,8,1,1,2,1,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
43,97844.0,391.0,0.558289984642361,6,0,,0.331940123359558,16,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
